trap_ID,days_out,trap_type,trap_area,side,insect_order,insect_family,count
JN28.red,1,clear,93,3,Diptera,Drosophilidae,1
JN28.red,1,clear,93,3,Diptera,Tipulidae,1
JN28.red,1,clear,93,3,Diptera,Chironomidae,13
JN28.red,1,clear,93,3,Diptera,Psychodidae,43
JN28.red,1,clear,93,3,Hemiptera,,3
JN28.dark,3,clear,93,3,Araneae,,1
JN28.dark,3,clear,93,3,Lepidoptera,,1
JN28.dark,3,clear,93,3,Diptera,Drosophilidae,1
JN28.dark,3,clear,93,3,Diptera,Tipulidae,1
JN28.dark,3,clear,93,3,Diptera,Chironomidae,8
JN28.dark,3,clear,93,3,Diptera,Psychodidae,3
JN28.dark,3,clear,93,3,Coleoptera,,1
JN28.dark,3,clear,93,3,Hemiptera,,2
JN29.blue,2,clear,93,3,Coleoptera,Lampyridae,1
JN29.blue,2,clear,93,3,Acari,,1
JN29.blue,2,clear,93,3,Diptera,Drosophilidae,5
JN29.blue,2,clear,93,3,Diptera,Calliphoridae,1
JN29.blue,2,clear,93,3,Diptera,Tipulidae,21
JN29.blue,2,clear,93,3,Diptera,Chironomidae,60
JN29.blue,2,clear,93,3,Diptera,Psychodidae,47
JN29.blue,2,clear,93,3,Trichoptera,,4
JN29.blue,2,clear,93,3,Lepidoptera,,1
JN29.blue,2,clear,93,3,Hemiptera,,7
JN29.amber,2,clear,93,3,Diptera,Drosophilidae,2
JN29.amber,2,clear,93,3,Diptera,Tipulidae,7
JN29.amber,2,clear,93,3,Diptera,Chironomidae,56
JN29.amber,2,clear,93,3,Diptera,Psychodidae,61
JN29.amber,2,clear,93,3,Coleoptera,,1
JN29.amber,2,clear,93,3,Coleoptera,,1
JN29.amber,2,clear,93,3,Trichoptera,,1
JN29.amber,2,clear,93,3,Hemiptera,,6
JN29.amber,2,clear,93,3,Hymenoptera,,1
JN29.red,2,clear,93,3,Diptera,Tipulidae,4
JN29.red,2,clear,93,3,Diptera,Chironomidae,24
JN29.red,2,clear,93,3,Diptera,Psychodidae,31
JN29.red,2,clear,93,3,Trichoptera,,1
JN29.red,2,clear,93,3,Lepidoptera,,1
JY01.blue,1,clear,115.5,3,Coleoptera,,1
JY01.blue,1,clear,115.5,3,Coleoptera,,1
JY01.blue,1,clear,115.5,3,Coleoptera,Lampyridae,1
JY01.blue,1,clear,115.5,3,Diptera,Drosophilidae,1
JY01.blue,1,clear,115.5,3,Diptera,Tipulidae,30
JY01.blue,1,clear,115.5,3,Diptera,Chironomidae,62
JY01.blue,1,clear,115.5,3,Diptera,Psychodidae,30
JY01.blue,1,clear,115.5,3,Trichoptera,,1
JY01.blue,1,clear,115.5,3,Hemiptera,,3
JY01.amber,1,clear,115.5,3,Hemiptera,,2
JY01.amber,1,clear,115.5,3,Diptera,Drosophilidae,3
JY01.amber,1,clear,115.5,3,Diptera,Tipulidae,10
JY01.amber,1,clear,115.5,3,Diptera,Chironomidae,35
JY01.amber,1,clear,115.5,3,Diptera,Psychodidae,114
JY01.amber,1,clear,115.5,3,Lepidoptera,,2
JY01.red,1,clear,115.5,3,Lepidoptera,,1
JY01.red,1,clear,115.5,3,Hemiptera,,4
JY01.red,1,clear,115.5,3,Diptera,Tipulidae,1
JY01.red,1,clear,115.5,3,Diptera,Chironomidae,17
JY01.red,1,clear,115.5,3,Diptera,Psychodidae,12
JY01.dark,4,clear,115.5,3,Lepidoptera,,1
JY01.dark,4,clear,115.5,3,Diptera,Chironomidae,11
JY01.dark,4,clear,115.5,3,Diptera,Psychodidae,9
JY01.dark,4,clear,115.5,3,Diptera,Drosophilidae,1
JY01.dark,4,clear,115.5,3,Diptera,Phoridae,2
JY01.dark,4,clear,115.5,3,Hemiptera,,1
JY02.red,1,clear,115.5,3,Coleoptera,Lampyridae,2
JY02.red,1,clear,115.5,3,Lepidoptera,,2
JY02.red,1,clear,115.5,3,Hemiptera,,23
JY02.red,1,clear,115.5,3,Acari,,1
JY02.red,1,clear,115.5,3,Diptera,Phoridae,1
JY02.red,1,clear,115.5,3,Diptera,Drosophilidae,1
JY02.red,1,clear,115.5,3,Diptera,Chironomidae,24
JY02.red,1,clear,115.5,3,Diptera,Psychodidae,24
JY02.blue,1,clear,115.5,3,Araneae,,1
JY02.blue,1,clear,115.5,3,Coleoptera,,3
JY02.blue,1,clear,115.5,3,Lepidoptera,,1
JY02.blue,1,clear,115.5,3,Lepidoptera,,2
JY02.blue,1,clear,115.5,3,Trichoptera,,10
JY02.blue,1,clear,115.5,3,Hemiptera,,30
JY02.blue,1,clear,115.5,3,Diptera,Phoridae,1
JY02.blue,1,clear,115.5,3,Diptera,Drosophilidae,1
JY02.blue,1,clear,115.5,3,Diptera,Tipulidae,18
JY02.blue,1,clear,115.5,3,Diptera,Chironomidae,29
JY02.blue,1,clear,115.5,3,Diptera,Psychodidae,36
JY02.amber,1,clear,115.5,3,Acari,,1
JY02.amber,1,clear,115.5,3,Diptera,Drosophilidae,1
JY02.amber,1,clear,115.5,3,Diptera,Tipulidae,5
JY02.amber,1,clear,115.5,3,Diptera,Chironomidae,39
JY02.amber,1,clear,115.5,3,Diptera,Psychodidae,79
JY02.amber,1,clear,115.5,3,Trichoptera,,2
JY02.amber,1,clear,115.5,3,Coleoptera,,6
JY02.amber,1,clear,115.5,3,Hemiptera,,41
JY05.blue,1,clear,115.5,3,Coleoptera,,1
JY05.blue,1,clear,115.5,3,Diptera,Drosophilidae,6
JY05.blue,1,clear,115.5,3,Diptera,Culicidae,2
JY05.blue,1,clear,115.5,3,Diptera,Tipulidae,3
JY05.blue,1,clear,115.5,3,Diptera,Chironomidae,31
JY05.blue,1,clear,115.5,3,Diptera,Psychodidae,1
JY05.blue,1,clear,115.5,3,Hemiptera,,3
JY05.blue,1,clear,115.5,3,Araneae,,1
JY05.blue,1,clear,115.5,3,Trichoptera,,9
JY05.blue,1,clear,115.5,3,Ephemeroptera,,1
JY05.red,1,clear,115.5,3,Coleoptera,Lampyridae,1
JY05.red,1,clear,115.5,3,Hymenoptera,,1
JY05.red,1,clear,115.5,3,Diptera,Chironomidae,15
JY05.red,1,clear,115.5,3,Diptera,Psychodidae,2
JY05.amber,1,clear,115.5,3,Lepidoptera,,1
JY05.amber,1,clear,115.5,3,Diptera,Tipulidae,1
JY05.amber,1,clear,115.5,3,Diptera,Chironomidae,24
JY05.amber,1,clear,115.5,3,Diptera,Psychodidae,3
JY05.amber,1,clear,115.5,3,Hemiptera,,1
