date,hive_ID,treatment,frame,brood,area_cm2
2019-07-25,8,heat,bottom,50,23.23
2019-07-25,1,control,bottom,113,28.54
2019-07-25,2,control,top,7,11.87
2019-07-25,3,control,top,0,35.35
2019-07-25,4,control,bottom,55,16.92
2019-07-25,5,control,top,79,20.2
2019-07-25,6,control,bottom,115,29.04
2019-07-25,7,control,bottom,63,17.17
2019-07-25,8,control,top,6,8.59
2019-08-01,1,heat,top,20,20.96
2019-08-01,2,heat,bottom,104,28.28
2019-08-01,3,heat,bottom,24,14.14
2019-08-01,4,heat,top,61,31.31
2019-08-01,5,heat,bottom,90,30.56
2019-08-01,6,heat,top,0,35.61
2019-08-01,7,heat,top,0,37.37
2019-08-01,8,heat,bottom,11,26.01
2019-08-01,1,control,bottom,65,16.67
2019-08-01,2,control,top,94,26.77
2019-08-01,3,control,top,0,39.39
2019-08-01,4,control,bottom,106,30.05
2019-08-01,5,control,top,129,33.84
2019-08-01,6,control,bottom,133,33.59
2019-08-01,7,control,bottom,115,31.31
2019-08-01,8,control,top,0,36.62
2019-08-09,1,heat,top,4,9.85
2019-08-09,2,heat,bottom,114,30.81
2019-08-09,3,heat,bottom,12,10.86
2019-08-09,4,heat,top,66,30.05
2019-08-09,5,heat,bottom,29,15.4
2019-08-09,6,heat,top,0,35.61
2019-08-09,7,heat,top,0,37.37
2019-08-09,8,heat,bottom,18,4.8
2019-08-09,1,control,bottom,76,19.19
2019-08-09,2,control,top,99,25
2019-08-09,3,control,top,0,39.39
2019-08-09,4,control,bottom,72,22.73
2019-08-09,5,control,top,41,11.87
2019-08-09,6,control,bottom,51,12.88
2019-08-09,7,control,bottom,78,20.96
2019-08-09,8,control,top,13,24.5
2019-08-17,1,heat,top,35,10.86
2019-08-17,2,heat,bottom,67,17.42
2019-08-17,3,heat,bottom,4,7.58
2019-08-17,4,heat,top,3,16.92
2019-08-17,5,heat,bottom,4,7.58
2019-08-17,6,heat,top,0,35.61
2019-08-17,7,heat,top,0,37.37
2019-08-17,8,heat,bottom,99,25
2019-08-17,1,control,bottom,101,26.26
2019-08-17,2,control,top,46,11.62
2019-08-17,3,control,top,0,31.06
2019-08-17,4,control,bottom,44,11.87
2019-08-17,5,control,top,0,13.64
2019-08-17,6,control,bottom,117,30.3
2019-08-17,7,control,bottom,115,29.04
2019-08-17,8,control,top,91,24.24
2019-08-22,1,heat,top,38,13.64
2019-08-22,2,heat,bottom,93,33.84
2019-08-22,3,heat,bottom,6,8.84
2019-08-22,4,heat,top,1,12.88
2019-08-22,5,heat,bottom,0,7.07
2019-08-22,6,heat,top,0,35.61
2019-08-22,7,heat,top,0,37.37
2019-08-22,8,heat,bottom,130,32.83
2019-08-22,1,control,bottom,59,16.16
2019-08-22,2,control,top,73,18.43
2019-08-22,3,control,top,0,31.06
2019-08-22,4,control,bottom,87,21.97
2019-08-22,5,control,top,0,14.39
2019-08-22,6,control,bottom,107,27.02
2019-08-22,7,control,bottom,126,31.82
2019-08-22,8,control,top,176,44.7
