date,time,observer,plot,flower_species,greenhouse,rain,fertilizer,spikes,bumble_bee,honey_bee,sweat_bee,sunflower_bee,other_bee,butterfly,wasp,fly,beetle,anthidium
9/23/2020,11:11,CD,1GLU,goldenrod,1,L,U,29,7,1,1,0,1,0,0,1,0,0
9/23/2020,11:21,CD,1GMF,goldenrod,1,M,F,16,4,6,1,0,1,0,0,1,0,0
9/23/2020,11:16,CD,1GMU,goldenrod,1,M,U,27,3,3,3,0,0,0,1,2,0,0
9/24/2020,10:04,CD,1GHF,goldenrod,1,H,F,59,15,18,2,0,0,0,3,4,1,0
9/24/2020,10:13,CD,1GHU,goldenrod,1,H,U,38,22,21,0,0,1,0,2,9,0,0
9/24/2020,10:20,CD,1GMF,goldenrod,1,M,F,19,1,4,0,0,0,0,1,3,0,0
9/24/2020,11:57,CD,1GMU,goldenrod,1,M,U,27,3,3,0,0,0,0,4,5,0,0
9/24/2020,12:07,CD,1GLF,goldenrod,1,L,F,14,1,10,2,0,0,0,2,4,0,0
9/24/2020,12:02,CD,1GLU,goldenrod,1,L,U,27,9,14,1,0,0,0,5,2,1,0
9/24/2020,12:16,CD,2GMF,goldenrod,2,M,F,30,5,10,0,0,0,0,2,3,0,0
9/24/2020,12:22,CD,2GMU,goldenrod,2,M,U,23,4,5,1,0,0,0,0,2,0,0
9/24/2020,12:28,CD,2GHF,goldenrod,2,H,F,34,8,17,0,0,0,0,1,4,0,0
9/24/2020,12:33,CD,2GHU,goldenrod,2,H,U,35,20,17,0,0,0,0,1,5,0,0
9/24/2020,12:48,CD,2GLF,goldenrod,2,L,F,39,3,8,0,0,1,0,3,1,0,0
9/24/2020,12:42,CD,2GLU,goldenrod,2,L,U,20,2,3,1,0,0,1,2,5,0,0
9/24/2020,13:10,CD,3GMF,goldenrod,3,M,F,38,17,16,0,0,1,0,2,2,0,0
9/24/2020,13:19,CD,3GMU,goldenrod,3,M,U,32,18,13,0,0,0,0,2,3,1,0
9/24/2020,13:28,CD,3GHF,goldenrod,3,H,F,38,7,22,3,0,1,0,2,1,1,0
9/24/2020,13:34,CD,3GHU,goldenrod,3,H,U,34,6,20,3,0,1,0,2,0,1,0
9/24/2020,13:04,CD,3GLU,goldenrod,3,L,U,4,2,0,1,0,0,0,0,1,0,0
9/26/2020,10:20,ID,3GLU,goldenrod,3,L,U,9,1,0,0,0,0,0,0,0,0,0
9/26/2020,10:28,ID,3GMF,goldenrod,3,M,F,39,6,5,0,0,0,0,0,1,0,0
9/26/2020,10:33,ID,3GMU,goldenrod,3,M,U,23,9,6,0,1,0,0,0,0,0,0
9/26/2020,10:43,ID,3GHF,goldenrod,3,H,F,27,7,3,0,0,0,0,1,0,0,0
9/26/2020,10:48,ID,3GHU,goldenrod,3,H,U,14,10,4,0,0,0,0,0,1,0,0
9/26/2020,10:59,ID,2GLF,goldenrod,2,L,F,23,3,2,0,0,2,0,0,1,0,0
9/26/2020,11:05,ID,2GLU,goldenrod,2,L,U,32,1,4,0,0,6,0,1,0,0,0
9/26/2020,11:14,ID,2GHF,goldenrod,2,H,F,12,6,8,0,0,1,0,0,0,0,0
9/26/2020,11:20,ID,2GHU,goldenrod,2,H,U,38,21,20,0,0,5,0,5,0,0,0
9/26/2020,11:27,ID,2GMF,goldenrod,2,M,F,12,2,12,0,0,0,0,0,1,0,0
9/26/2020,11:33,ID,2GMU,goldenrod,2,M,U,23,6,8,0,0,3,0,0,0,0,0
9/26/2020,10:26,JT,1GLF,goldenrod,1,L,F,20,5,1,1,0,0,0,0,0,0,0
9/26/2020,10:31,JT,1GLU,goldenrod,1,L,U,32,6,1,1,0,0,0,0,0,0,0
9/26/2020,10:36,JT,1GMF,goldenrod,1,M,F,24,1,1,0,0,0,0,0,0,0,0
9/26/2020,10:41,JT,1GMU,goldenrod,1,M,U,29,4,3,4,0,0,0,1,0,0,0
9/26/2020,10:46,JT,1GHF,goldenrod,1,H,F,30,8,12,3,0,1,0,2,0,1,0
9/26/2020,10:51,JT,1GHU,goldenrod,1,H,U,40,15,18,5,0,0,0,2,0,1,0
9/28/2020,9:00,JT,3GHF,goldenrod,3,H,F,32,4,1,0,0,0,0,0,0,1,0
9/28/2020,9:05,JT,3GHU,goldenrod,3,H,U,14,3,0,1,0,0,0,0,0,0,0
9/28/2020,9:15,JT,3GMF,goldenrod,3,M,F,35,2,3,4,0,0,0,0,0,1,0
9/28/2020,9:10,JT,3GMU,goldenrod,3,M,U,23,5,0,5,0,0,0,1,0,0,0
9/28/2020,9:20,JT,3GLF,goldenrod,3,L,F,12,0,0,0,0,0,0,0,0,0,0
9/28/2020,9:20,JT,3GLU,goldenrod,3,L,U,12,0,0,0,0,0,0,0,0,0,0
9/28/2020,9:25,JT,2GMF,goldenrod,2,M,F,17,0,2,0,0,0,0,1,0,0,0
9/28/2020,9:30,JT,2GMU,goldenrod,2,M,U,31,3,2,4,0,0,0,1,1,1,0
9/28/2020,9:35,JT,2GHF,goldenrod,2,H,F,25,3,4,2,0,0,0,1,0,2,0
9/28/2020,9:40,JT,2GHU,goldenrod,2,H,U,35,10,5,9,0,0,0,0,0,3,0
9/28/2020,9:11,CD,1GLF,goldenrod,1,L,F,14,1,3,0,0,0,0,0,0,0,0
9/28/2020,9:16,CD,1GLU,goldenrod,1,L,U,32,5,1,2,0,0,0,0,1,1,0
9/28/2020,9:26,CD,1GMF,goldenrod,1,M,F,12,2,1,0,0,0,0,0,0,0,0
9/28/2020,9:21,CD,1GMU,goldenrod,1,M,U,28,3,0,3,0,0,0,0,0,2,0
9/28/2020,9:31,CD,1GHF,goldenrod,1,H,F,30,5,6,0,0,0,0,1,0,4,0
9/28/2020,9:36,CD,1GHU,goldenrod,1,H,U,38,8,5,1,0,0,0,0,2,1,0
9/28/2020,9:42,CD,2GLF,goldenrod,2,L,F,25,0,3,1,0,0,0,1,2,0,0
9/28/2020,9:48,CD,2GLU,goldenrod,2,L,U,38,2,6,3,0,0,0,1,0,0,0
9/29/2020,13:01,JT,1GHF,goldenrod,1,H,F,31,0,13,3,0,0,0,0,0,1,0
9/29/2020,13:10,JT,1GHU,goldenrod,1,H,U,39,2,20,2,0,0,0,0,1,1,0
9/29/2020,13:15,JT,1GMF,goldenrod,1,M,F,12,0,2,0,0,0,0,1,0,0,0
9/29/2020,13:20,JT,1GMU,goldenrod,1,M,U,32,2,8,2,0,0,0,0,0,1,0
9/29/2020,13:25,JT,1GLF,goldenrod,1,L,F,13,1,2,0,0,0,0,0,0,0,0
9/29/2020,13:30,JT,1GLU,goldenrod,1,L,U,33,7,15,6,0,0,0,1,0,1,0
9/29/2020,12:35,JT,2GMF,goldenrod,2,M,F,12,0,0,1,0,0,0,1,1,0,0
9/29/2020,12:40,JT,2GMU,goldenrod,2,M,U,31,2,11,4,0,0,0,2,0,2,0
9/29/2020,12:45,JT,2GHF,goldenrod,2,H,F,25,6,8,2,0,0,0,0,0,1,0
9/29/2020,12:50,JT,2GHU,goldenrod,2,H,U,35,5,10,20,0,0,0,2,1,0,0
9/29/2020,12:55,JT,2GLF,goldenrod,2,L,F,21,2,2,1,0,0,0,0,0,0,0
9/29/2020,13:00,JT,2GLU,goldenrod,2,L,U,29,4,8,8,0,1,0,0,0,1,0
9/29/2020,12:10,JT,3GLF,goldenrod,3,L,F,12,0,0,0,0,0,0,0,0,0,0
9/29/2020,12:10,JT,3GLU,goldenrod,2,L,U,13,0,0,0,0,0,0,0,0,0,0
9/29/2020,12:15,JT,3GMF,goldenrod,3,M,F,35,6,15,15,0,0,0,0,5,1,0
9/29/2020,12:20,JT,3GMU,goldenrod,3,M,U,23,1,13,8,0,0,0,0,0,1,0
9/29/2020,12:30,JT,3GHF,goldenrod,3,H,F,21,8,18,3,0,0,0,3,0,0,0
9/29/2020,12:25,JT,3GHU,goldenrod,3,H,U,16,5,10,6,0,0,0,1,1,0,0
10/1/2020,9:20,CD,2GLF,goldenrod,2,L,F,20,1,1,0,0,0,0,0,1,0,0
10/1/2020,9:25,CD,2GLU,goldenrod,2,L,U,30,2,2,0,0,0,0,0,0,0,0
10/1/2020,9:30,CD,2GHF,goldenrod,2,H,F,23,5,3,0,0,0,0,0,1,0,0
10/1/2020,9:35,CD,2GHU,goldenrod,2,H,U,38,7,4,1,0,0,0,0,0,2,0
10/1/2020,9:45,CD,2GMF,goldenrod,2,M,F,11,1,0,0,0,0,0,0,1,0,0
10/1/2020,9:40,CD,2GMU,goldenrod,2,M,U,33,2,1,2,0,0,0,0,1,1,0
10/1/2020,9:57,CD,3GLF,goldenrod,3,L,F,13,0,0,0,0,0,0,0,0,0,0
10/1/2020,9:52,CD,3GLU,goldenrod,3,L,U,15,1,1,0,0,0,0,0,3,0,0
10/1/2020,10:02,CD,3GHF,goldenrod,3,H,F,24,4,5,2,0,0,0,0,0,0,0
10/1/2020,10:07,CD,3GHU,goldenrod,3,H,U,12,2,6,0,0,0,0,0,0,0,0
10/1/2020,11:51,CD,3GMF,goldenrod,3,M,F,36,3,6,5,0,0,0,1,1,1,0
10/1/2020,11:57,CD,3GMU,goldenrod,3,M,U,21,4,4,1,0,0,0,1,2,3,0
10/1/2020,12:10,CD,1GLF,goldenrod,1,L,F,10,1,1,1,0,0,0,0,0,0,0
10/1/2020,12:04,CD,1GLU,goldenrod,1,L,U,34,4,1,0,0,0,0,0,0,2,0
10/1/2020,12:15,CD,1GMF,goldenrod,1,M,F,14,0,0,0,0,0,0,0,0,0,0
10/1/2020,12:20,CD,1GMU,goldenrod,1,M,U,32,5,3,0,0,0,0,2,2,0,0
10/1/2020,12:25,CD,1GHF,goldenrod,1,H,F,19,2,5,0,0,0,0,0,1,2,0
10/1/2020,12:30,CD,1GHU,goldenrod,1,H,U,37,1,4,0,0,0,0,0,2,0,0
10/3/2020,11:18,ID,1GHF,goldenrod,1,H,F,9,0,0,0,0,0,0,0,0,0,0
10/3/2020,11:25,ID,1GHU,goldenrod,1,H,U,28,0,6,0,0,1,0,0,1,0,0
10/3/2020,11:33,ID,1GMF,goldenrod,1,M,F,12,3,0,0,0,0,0,0,0,0,0
10/3/2020,11:40,ID,1GMU,goldenrod,1,M,U,26,4,0,0,0,0,0,0,2,0,0
10/3/2020,11:53,ID,1GLF,goldenrod,1,L,F,9,3,0,0,0,1,0,0,0,0,0
10/3/2020,11:59,ID,1GLU,goldenrod,1,L,U,35,3,1,2,0,4,0,1,1,0,0
10/3/2020,12:06,ID,2GMF,goldenrod,2,M,F,6,0,0,0,0,1,0,0,0,0,0
10/3/2020,13:52,ID,2GMU,goldenrod,2,M,U,30,0,4,0,0,0,0,1,0,0,0
10/3/2020,11:26,JT,3GHF,goldenrod,3,H,F,14,3,1,0,0,0,0,0,0,0,0
10/3/2020,11:31,JT,3GHU,goldenrod,3,H,U,6,4,2,0,0,0,0,0,0,0,0
10/3/2020,11:41,JT,3GMF,goldenrod,3,M,F,34,6,5,4,0,0,0,0,1,0,0
10/3/2020,11:36,JT,3GMU,goldenrod,3,M,U,14,3,1,0,0,0,0,0,0,0,0
10/3/2020,11:46,JT,3GLF,goldenrod,3,L,F,14,0,0,1,0,0,0,0,0,0,0
10/3/2020,11:46,JT,3GLU,goldenrod,3,L,U,16,1,0,1,0,0,0,0,0,0,0
10/3/2020,11:51,JT,2GLF,goldenrod,2,L,F,6,0,0,0,0,0,0,1,0,0,0
10/3/2020,11:56,JT,2GLU,goldenrod,2,L,U,28,0,1,3,0,0,0,0,0,1,0
10/3/2020,12:03,JT,2GHF,goldenrod,2,H,F,16,2,2,1,0,0,0,1,0,0,0
10/3/2020,12:09,JT,2GHU,goldenrod,2,H,U,40,0,1,4,0,0,0,1,1,0,0
10/5/2020,10:35,CD,1GHF,goldenrod,1,H,F,9,2,0,0,0,0,0,0,0,0,0
10/5/2020,10:40,CD,1GHU,goldenrod,1,H,U,27,0,1,0,0,0,0,0,0,0,0
10/5/2020,10:45,CD,1GMF,goldenrod,1,M,F,13,2,0,0,0,0,0,0,0,0,0
10/5/2020,10:50,CD,1GMU,goldenrod,1,M,U,27,0,1,0,0,0,0,0,0,0,0
10/5/2020,10:55,CD,1GLF,goldenrod,1,L,F,10,1,0,0,0,0,0,0,0,0,0
10/5/2020,11:00,CD,1GLU,goldenrod,1,L,U,32,3,0,0,0,0,0,1,0,0,0
10/5/2020,11:05,CD,2GMF,goldenrod,2,M,F,7,1,0,0,0,0,0,0,0,0,0
10/5/2020,11:10,CD,2GMU,goldenrod,2,M,U,32,1,0,0,0,0,0,0,0,1,0
10/5/2020,11:15,CD,2GHF,goldenrod,2,H,F,16,2,0,0,0,0,0,0,0,0,0
10/5/2020,11:20,CD,2GHU,goldenrod,2,H,U,39,1,0,0,0,0,0,0,1,0,0
10/5/2020,11:25,CD,2GLF,goldenrod,2,L,F,5,0,0,0,0,0,0,0,0,0,0
10/5/2020,11:30,CD,2GLU,goldenrod,2,L,U,30,1,0,0,0,0,0,0,0,0,0
10/5/2020,11:35,CD,3GLF,goldenrod,3,L,F,15,0,0,0,0,0,0,0,0,0,0
10/5/2020,11:40,CD,3GLU,goldenrod,3,L,U,17,0,0,0,0,0,0,0,1,0,0
10/5/2020,11:45,CD,3GMF,goldenrod,3,M,F,35,3,0,0,0,0,0,0,0,0,0
10/5/2020,11:50,CD,3GMU,goldenrod,3,M,U,15,4,0,0,0,0,0,0,0,0,0
10/5/2020,11:55,CD,3GHF,goldenrod,3,H,F,16,1,0,0,0,0,0,0,0,0,0
10/5/2020,12:00,CD,3GHU,goldenrod,3,H,U,7,1,0,0,0,0,0,0,0,0,0
10/6/2020,1:17,JT,2GMF,goldenrod,2,M,F,2,0,1,0,0,0,0,0,0,0,0
10/6/2020,1:22,JT,2GMU,goldenrod,2,M,U,25,0,1,1,0,0,0,0,3,0,0
10/6/2020,1:27,JT,2GHF,goldenrod,2,H,F,10,0,1,0,0,0,0,0,1,0,0
10/6/2020,1:32,JT,2GHU,goldenrod,2,H,U,24,0,2,0,0,0,0,0,0,0,0
10/6/2020,1:37,JT,2GLF,goldenrod,2,L,F,1,0,0,0,0,0,0,0,0,0,0
10/6/2020,1:42,JT,2GLU,goldenrod,2,L,U,20,0,0,4,0,0,0,0,0,0,0
10/6/2020,1:47,JT,3GLF,goldenrod,3,L,F,3,0,0,2,0,0,0,0,0,0,0
10/6/2020,1:47,JT,3GLU,goldenrod,3,L,U,11,0,1,5,0,0,0,0,0,0,0
10/6/2020,1:52,JT,3GMF,goldenrod,3,M,F,22,1,0,8,0,0,0,0,0,0,0
10/6/2020,1:57,JT,3GMU,goldenrod,3,M,U,11,1,0,3,0,0,0,0,0,0,0
10/6/2020,2:02,JT,3GHF,goldenrod,3,H,F,11,1,0,1,0,0,0,0,0,0,0
10/6/2020,2:07,JT,3GHU,goldenrod,3,H,U,6,1,3,3,0,0,0,0,0,0,0
10/6/2020,2:12,JT,1GLF,goldenrod,1,L,F,4,0,0,1,0,0,0,0,0,0,0
10/6/2020,2:17,JT,1GLU,goldenrod,1,L,U,18,0,1,2,0,1,0,0,0,0,0
10/6/2020,2:22,JT,1GMF,goldenrod,1,M,F,5,3,0,0,0,0,0,0,0,0,0
10/6/2020,2:27,JT,1GMU,goldenrod,1,M,U,15,1,2,1,0,3,0,0,0,0,0
10/6/2020,2:32,JT,1GHF,goldenrod,1,H,F,4,1,1,0,0,1,0,0,0,0,0
10/6/2020,2:37,JT,1GHU,goldenrod,1,H,U,4,0,0,1,0,1,0,0,0,0,0
10/7/2020,11:27,CD,2GHF,goldenrod,2,H,F,10,0,1,1,0,0,0,0,1,0,0
10/7/2020,11:32,CD,2GHU,goldenrod,2,H,U,23,0,1,0,0,1,0,0,0,0,0
10/7/2020,11:37,CD,2GMU,goldenrod,2,M,U,25,1,0,2,0,0,0,0,4,0,0
10/7/2020,11:47,CD,2GLU,goldenrod,2,L,U,20,1,0,0,0,0,1,1,1,0,0
10/7/2020,11:57,CD,3GLF,goldenrod,3,L,F,5,0,0,0,0,0,0,0,1,0,0
10/7/2020,12:02,CD,3GLU,goldenrod,3,L,U,13,0,0,1,0,0,0,0,2,0,0
10/7/2020,12:08,CD,3GHF,goldenrod,3,H,F,10,0,1,1,0,0,0,0,1,0,0
10/7/2020,12:13,CD,3GHU,goldenrod,3,H,U,5,2,2,0,0,0,0,0,0,0,0
10/7/2020,12:18,CD,3GMF,goldenrod,3,M,F,19,0,4,1,0,0,0,1,4,0,0
10/7/2020,12:23,CD,3GMU,goldenrod,3,M,U,9,1,3,0,0,0,0,0,0,0,0
10/7/2020,12:28,CD,1GLF,goldenrod,1,L,F,5,1,0,0,0,0,0,0,0,0,0
10/7/2020,12:33,CD,1GLU,goldenrod,1,L,U,18,0,0,0,0,1,0,0,2,2,0
10/7/2020,12:38,CD,1GMU,goldenrod,1,M,U,16,0,1,2,0,2,0,0,5,0,0
10/7/2020,12:43,CD,1GMF,goldenrod,1,M,F,5,1,0,0,0,0,0,1,2,0,0
10/7/2020,12:48,CD,1GHF,goldenrod,1,H,F,4,0,0,0,0,2,1,0,0,0,0
10/7/2020,12:53,CD,1GHU,goldenrod,1,H,U,5,0,0,0,0,1,0,1,0,0,0
10/9/2020,12:08,JT,1GMF,goldenrod,1,M,F,2,1,0,0,0,0,0,0,0,0,0
10/9/2020,12:08,JT,1GMU,goldenrod,1,M,U,6,1,0,0,0,0,0,1,0,0,0
10/9/2020,12:14,JT,1GLF,goldenrod,1,L,F,3,0,0,1,0,1,0,0,0,0,0
10/9/2020,12:14,JT,1GLU,goldenrod,1,L,U,5,1,0,0,0,1,0,1,0,0,0
10/9/2020,12:19,JT,2GMF,goldenrod,2,M,F,2,0,0,0,0,0,0,0,0,0,0
10/9/2020,12:19,JT,2GMU,goldenrod,2,M,U,6,0,0,1,0,0,0,0,0,0,0
10/9/2020,12:24,JT,2GHF,goldenrod,2,H,F,2,0,0,0,0,1,0,0,0,0,0
10/9/2020,12:24,JT,2GHU,goldenrod,2,H,U,6,0,0,1,0,0,0,0,0,0,0
10/9/2020,12:29,JT,2GLF,goldenrod,2,L,F,0,0,0,0,0,0,0,0,0,0,0
10/9/2020,12:29,JT,2GLU,goldenrod,2,L,U,2,0,0,0,0,0,0,0,1,0,0
10/9/2020,12:34,JT,3GLF,goldenrod,3,L,F,1,0,0,0,0,0,0,0,0,0,0
10/9/2020,12:34,JT,3GLU,goldenrod,3,L,U,11,0,0,1,0,0,0,0,0,0,0
10/9/2020,12:39,JT,3GMF,goldenrod,3,M,F,7,1,0,0,0,3,0,0,0,0,0
10/9/2020,12:39,JT,3GMU,goldenrod,3,M,U,1,0,0,0,0,1,0,0,1,1,0
10/9/2020,12:44,JT,3GHF,goldenrod,3,H,F,2,1,0,0,0,0,0,0,0,0,0
10/9/2020,12:44,JT,3GHU,goldenrod,3,H,U,3,0,0,0,0,0,0,0,0,0,0
10/11/2020,10:29,CD,1GLF,goldenrod,1,L,F,6,0,0,0,0,0,0,0,1,0,0
10/11/2020,10:29,CD,1GLU,goldenrod,1,L,U,6,1,0,0,0,0,0,0,1,0,0
10/11/2020,10:34,CD,1GMU,goldenrod,1,M,U,5,2,0,1,0,0,0,0,2,0,0
10/11/2020,10:42,CD,1GHU,goldenrod,1,H,U,2,0,0,0,0,1,0,0,0,0,0
10/11/2020,10:48,CD,2GLU,goldenrod,2,L,U,1,0,0,0,0,0,0,0,0,0,0
10/11/2020,10:53,CD,2GMU,goldenrod,2,M,U,3,0,0,0,0,0,0,0,0,0,0
10/11/2020,11:00,CD,2GHF,goldenrod,2,H,F,2,0,0,1,0,0,0,0,0,0,0
10/11/2020,11:00,CD,2GHU,goldenrod,2,H,U,3,0,0,0,0,0,0,0,0,0,0
10/11/2020,11:07,CD,3GLF,goldenrod,3,L,F,1,0,0,0,0,0,0,0,1,0,0
10/11/2020,11:07,CD,3GLU,goldenrod,3,L,U,9,0,0,0,0,0,0,1,0,0,0
10/11/2020,11:12,CD,3GMF,goldenrod,3,M,F,7,0,0,0,0,0,0,0,0,0,0
10/11/2020,11:12,CD,3GMU,goldenrod,3,M,U,2,0,0,0,0,0,0,0,0,0,0
10/11/2020,11:18,CD,3GHF,goldenrod,3,H,F,2,1,0,0,0,0,0,0,0,0,0
10/11/2020,11:18,CD,2GHU,goldenrod,2,H,U,2,1,0,1,0,1,0,0,0,0,0
10/14/2020,2:07,JT,1GMU,goldenrod,1,M,U,2,0,0,0,0,0,0,0,1,0,0
