BIRD_ID,YEAR,SCI_NAME,FAMILY,N_TICK,AVE_BWT,NEST,DIET,HABITAT,POS_BIRD
541,2004,Thryomanes bewickii,Troglodytidae,0,10,CAVITY,INSECTS,OAKW,0
543,2004,Thryomanes bewickii,Troglodytidae,0,10,CAVITY,INSECTS,OAKW,0
551,2004,Thryomanes bewickii,Troglodytidae,0,10,CAVITY,INSECTS,OAKW,0
552,2004,Thryomanes bewickii,Troglodytidae,0,10,CAVITY,INSECTS,OAKW,0
557,2004,Thryomanes bewickii,Troglodytidae,0,10,CAVITY,INSECTS,OAKW,0
559,2004,Thryomanes bewickii,Troglodytidae,0,10,CAVITY,INSECTS,OAKW,0
582,2004,Thryomanes bewickii,Troglodytidae,0,10,CAVITY,INSECTS,OAKW,0
601,2004,Thryomanes bewickii,Troglodytidae,0,10,CAVITY,INSECTS,OAKW,0
603,2004,Thryomanes bewickii,Troglodytidae,0,10,CAVITY,INSECTS,OAKW,0
650,2004,Thryomanes bewickii,Troglodytidae,0,10,CAVITY,INSECTS,OAKW,0
662,2004,Thryomanes bewickii,Troglodytidae,0,10,CAVITY,INSECTS,OAKW,0
52,2003,Polioptila caerulea,Sylviidae,0,6,TREE,INSECTS,XW,0
490,2004,Polioptila caerulea,Sylviidae,0,6,TREE,INSECTS,XW,0
618,2004,Molothrus ater,Icteridae,0,46,OPP,SEEDS,GRASS,0
436,2004,Pheucticus melanocephalus,Cardinalidae,2,42,TREE,INSECTS,XW,0
442,2004,Pheucticus melanocephalus,Cardinalidae,0,42,TREE,INSECTS,XW,0
456,2004,Pheucticus melanocephalus,Cardinalidae,0,42,TREE,INSECTS,XW,1
457,2004,Pheucticus melanocephalus,Cardinalidae,0,42,TREE,INSECTS,XW,0
459,2004,Pheucticus melanocephalus,Cardinalidae,0,42,TREE,INSECTS,XW,0
460,2004,Pheucticus melanocephalus,Cardinalidae,0,42,TREE,INSECTS,XW,1
542,2004,Pheucticus melanocephalus,Cardinalidae,0,42,TREE,INSECTS,XW,0
556,2004,Pheucticus melanocephalus,Cardinalidae,0,42,TREE,INSECTS,XW,0
75,2003,Sayornis nigricans,Tyrannidae,0,18.5,CLIFF,INSECTS,OAKW,0
76,2003,Sayornis nigricans,Tyrannidae,0,18.5,CLIFF,INSECTS,OAKW,0
287,2003,Sayornis nigricans,Tyrannidae,0,18.5,CLIFF,INSECTS,OAKW,0
290,2003,Sayornis nigricans,Tyrannidae,0,18.5,CLIFF,INSECTS,OAKW,0
294,2003,Sayornis nigricans,Tyrannidae,0,18.5,CLIFF,INSECTS,OAKW,0
501,2004,Sayornis nigricans,Tyrannidae,0,18.5,CLIFF,INSECTS,OAKW,0
195,2003,Certhia americana,Certhiidae,5,7.5,BARK,INSECTS,XW,0
310,2003,Certhia americana,Certhiidae,3,7.5,BARK,INSECTS,XW,1
311,2003,Certhia americana,Certhiidae,3,7.5,BARK,INSECTS,XW,0
558,2004,Certhia americana,Certhiidae,0,7.5,BARK,INSECTS,XW,0
3,2003,Dendroica nigrescens,Parulidae,0,8.5,TREE,INSECTS,XW,0
63,2003,Dendroica nigrescens,Parulidae,0,8.5,TREE,INSECTS,XW,0
79,2003,Dendroica nigrescens,Parulidae,0,8.5,TREE,INSECTS,XW,0
87,2003,Dendroica nigrescens,Parulidae,1,8.5,TREE,INSECTS,XW,0
177,2003,Dendroica nigrescens,Parulidae,0,8.5,TREE,INSECTS,XW,0
217,2003,Dendroica nigrescens,Parulidae,0,8.5,TREE,INSECTS,XW,1
593,2004,Dendroica nigrescens,Parulidae,0,8.5,TREE,INSECTS,XW,1
597,2004,Dendroica nigrescens,Parulidae,0,8.5,TREE,INSECTS,XW,0
647,2004,Dendroica nigrescens,Parulidae,0,8.5,TREE,INSECTS,XW,0
28,2003,Icterus bullockii,Icteridae,1,36,TREE,INSECTS,OAKW,1
428,2004,Icterus bullockii,Icteridae,0,36,TREE,INSECTS,OAKW,0
443,2004,Icterus bullockii,Icteridae,0,36,TREE,INSECTS,OAKW,0
444,2004,Icterus bullockii,Icteridae,0,36,TREE,INSECTS,OAKW,0
458,2004,Icterus bullockii,Icteridae,0,36,TREE,INSECTS,OAKW,0
478,2004,Icterus bullockii,Icteridae,1,36,TREE,INSECTS,OAKW,0
479,2004,Icterus bullockii,Icteridae,2,36,TREE,INSECTS,OAKW,0
510,2004,Icterus bullockii,Icteridae,0,36,TREE,INSECTS,OAKW,0
512,2004,Icterus bullockii,Icteridae,0,36,TREE,INSECTS,OAKW,0
514,2004,Icterus bullockii,Icteridae,0,36,TREE,INSECTS,OAKW,0
528,2004,Icterus bullockii,Icteridae,0,36,TREE,INSECTS,OAKW,0
535,2004,Icterus bullockii,Icteridae,0,36,TREE,INSECTS,OAKW,0
10,2003,Psaltriparus minimus,Aegithalidae,0,5,TREE,INSECTS,CHAP,0
11,2003,Psaltriparus minimus,Aegithalidae,0,5,TREE,INSECTS,CHAP,0
43,2003,Psaltriparus minimus,Aegithalidae,0,5,TREE,INSECTS,CHAP,0
51,2003,Psaltriparus minimus,Aegithalidae,0,5,TREE,INSECTS,CHAP,0
133,2003,Psaltriparus minimus,Aegithalidae,0,5,TREE,INSECTS,CHAP,0
153,2003,Psaltriparus minimus,Aegithalidae,0,5,TREE,INSECTS,CHAP,0
154,2003,Psaltriparus minimus,Aegithalidae,0,5,TREE,INSECTS,CHAP,0
155,2003,Psaltriparus minimus,Aegithalidae,0,5,TREE,INSECTS,CHAP,0
164,2003,Psaltriparus minimus,Aegithalidae,0,5,TREE,INSECTS,CHAP,0
165,2003,Psaltriparus minimus,Aegithalidae,0,5,TREE,INSECTS,CHAP,0
166,2003,Psaltriparus minimus,Aegithalidae,0,5,TREE,INSECTS,CHAP,0
199,2003,Psaltriparus minimus,Aegithalidae,0,5,TREE,INSECTS,CHAP,0
200,2003,Psaltriparus minimus,Aegithalidae,0,5,TREE,INSECTS,CHAP,0
201,2003,Psaltriparus minimus,Aegithalidae,0,5,TREE,INSECTS,CHAP,1
205,2003,Psaltriparus minimus,Aegithalidae,0,5,TREE,INSECTS,CHAP,0
222,2003,Psaltriparus minimus,Aegithalidae,0,5,TREE,INSECTS,CHAP,0
224,2003,Psaltriparus minimus,Aegithalidae,0,5,TREE,INSECTS,CHAP,1
225,2003,Psaltriparus minimus,Aegithalidae,0,5,TREE,INSECTS,CHAP,0
413,2004,Psaltriparus minimus,Aegithalidae,0,5,TREE,INSECTS,CHAP,0
676,2004,Psaltriparus minimus,Aegithalidae,0,5,TREE,INSECTS,CHAP,0
677,2004,Psaltriparus minimus,Aegithalidae,0,5,TREE,INSECTS,CHAP,0
9,2003,Pipilo crissalis,Emberizidae,0,52,SHRUB,SEEDS,CHAP,0
123,2003,Pipilo crissalis,Emberizidae,0,52,SHRUB,SEEDS,CHAP,0
227,2003,Pipilo crissalis,Emberizidae,0,52,SHRUB,SEEDS,CHAP,0
232,2003,Pipilo crissalis,Emberizidae,0,52,SHRUB,SEEDS,CHAP,1
250,2003,Pipilo crissalis,Emberizidae,0,52,SHRUB,SEEDS,CHAP,0
391,2004,Pipilo crissalis,Emberizidae,0,52,SHRUB,SEEDS,CHAP,0
415,2004,Pipilo crissalis,Emberizidae,1,52,SHRUB,SEEDS,CHAP,0
437,2004,Pipilo crissalis,Emberizidae,0,52,SHRUB,SEEDS,CHAP,0
441,2004,Pipilo crissalis,Emberizidae,0,52,SHRUB,SEEDS,CHAP,0
651,2004,Pipilo crissalis,Emberizidae,0,52,SHRUB,SEEDS,CHAP,0
414,2004,Callipepla californica,Phasianidae,0,185,GROUND,SEEDS,CHAP,0
504,2004,Toxostoma redivivum,Mimidae,0,85.5,SHRUB,INSECTS,CHAP,0
518,2004,Toxostoma redivivum,Mimidae,1,85.5,SHRUB,INSECTS,CHAP,0
546,2004,Toxostoma redivivum,Mimidae,0,85.5,SHRUB,INSECTS,CHAP,0
580,2004,Toxostoma redivivum,Mimidae,1,85.5,SHRUB,INSECTS,CHAP,1
621,2004,Toxostoma redivivum,Mimidae,0,85.5,SHRUB,INSECTS,CHAP,0
47,2003,Vireo cassinii,Vireonidae,0,15.5,TREE,INSECTS,XW,0
48,2003,Vireo cassinii,Vireonidae,1,15.5,TREE,INSECTS,XW,0
98,2003,Vireo cassinii,Vireonidae,0,15.5,TREE,INSECTS,XW,0
113,2003,Vireo cassinii,Vireonidae,0,15.5,TREE,INSECTS,XW,0
171,2003,Vireo cassinii,Vireonidae,0,15.5,TREE,INSECTS,XW,1
473,2004,Vireo cassinii,Vireonidae,0,15.5,TREE,INSECTS,XW,0
482,2004,Vireo cassinii,Vireonidae,0,15.5,TREE,INSECTS,XW,1
527,2004,Vireo cassinii,Vireonidae,0,15.5,TREE,INSECTS,XW,0
529,2004,Vireo cassinii,Vireonidae,0,15.5,TREE,INSECTS,XW,0
614,2004,Vireo cassinii,Vireonidae,0,15.5,TREE,INSECTS,XW,0
38,2003,Spizella passerina,Emberizidae,2,13.5,SHRUB,SEEDS,OAKW,0
135,2003,Spizella passerina,Emberizidae,1,13.5,SHRUB,SEEDS,OAKW,1
300,2003,Spizella passerina,Emberizidae,0,13.5,SHRUB,SEEDS,OAKW,0
302,2003,Spizella passerina,Emberizidae,0,13.5,SHRUB,SEEDS,OAKW,1
431,2004,Spizella passerina,Emberizidae,0,13.5,SHRUB,SEEDS,OAKW,0
2,2003,Junco hyemalis,Emberizidae,1,24,GROUND,SEEDS,XW,0
7,2003,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
17,2003,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
77,2003,Junco hyemalis,Emberizidae,5,24,GROUND,SEEDS,XW,1
78,2003,Junco hyemalis,Emberizidae,1,24,GROUND,SEEDS,XW,0
118,2003,Junco hyemalis,Emberizidae,1,24,GROUND,SEEDS,XW,0
119,2003,Junco hyemalis,Emberizidae,2,24,GROUND,SEEDS,XW,0
120,2003,Junco hyemalis,Emberizidae,3,24,GROUND,SEEDS,XW,0
122,2003,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
141,2003,Junco hyemalis,Emberizidae,1,24,GROUND,SEEDS,XW,0
142,2003,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
187,2003,Junco hyemalis,Emberizidae,3,24,GROUND,SEEDS,XW,0
188,2003,Junco hyemalis,Emberizidae,3,24,GROUND,SEEDS,XW,0
204,2003,Junco hyemalis,Emberizidae,3,24,GROUND,SEEDS,XW,1
206,2003,Junco hyemalis,Emberizidae,2,24,GROUND,SEEDS,XW,0
207,2003,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
208,2003,Junco hyemalis,Emberizidae,1,24,GROUND,SEEDS,XW,0
209,2003,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
210,2003,Junco hyemalis,Emberizidae,1,24,GROUND,SEEDS,XW,0
215,2003,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
216,2003,Junco hyemalis,Emberizidae,1,24,GROUND,SEEDS,XW,1
273,2003,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
382,2004,Junco hyemalis,Emberizidae,1,24,GROUND,SEEDS,XW,1
388,2004,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
468,2004,Junco hyemalis,Emberizidae,1,24,GROUND,SEEDS,XW,0
531,2004,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
534,2004,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
547,2004,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
553,2004,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
554,2004,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
555,2004,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
561,2004,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
564,2004,Junco hyemalis,Emberizidae,3,24,GROUND,SEEDS,XW,0
565,2004,Junco hyemalis,Emberizidae,1,24,GROUND,SEEDS,XW,0
569,2004,Junco hyemalis,Emberizidae,1,24,GROUND,SEEDS,XW,0
570,2004,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
571,2004,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
572,2004,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
573,2004,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
574,2004,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
581,2004,Junco hyemalis,Emberizidae,1,24,GROUND,SEEDS,XW,0
583,2004,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
599,2004,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
600,2004,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
604,2004,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
605,2004,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
607,2004,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
609,2004,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
616,2004,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
622,2004,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
623,2004,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
624,2004,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
634,2004,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
635,2004,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
636,2004,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
638,2004,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
648,2004,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,1
674,2004,Junco hyemalis,Emberizidae,0,24,GROUND,SEEDS,XW,0
545,2004,Picoides pubescens,Picidae,0,24.5,CAVITY,INSECTS,XW,0
568,2004,Sturnus vulgaris,Sturnidae,0,78,CAVITY,INSECTS,GRASS,0
410,2004,Passerella iliaca,Emberizidae,1,35.3,GROUND,INSECTS,XW,0
383,2004,Zonotrichia atricapilla,Emberizidae,0,31.5,GROUND,INSECTS,CHAP,0
384,2004,Zonotrichia atricapilla,Emberizidae,0,31.5,GROUND,INSECTS,CHAP,1
386,2004,Zonotrichia atricapilla,Emberizidae,1,31.5,GROUND,INSECTS,CHAP,1
387,2004,Zonotrichia atricapilla,Emberizidae,0,31.5,GROUND,INSECTS,CHAP,0
389,2004,Zonotrichia atricapilla,Emberizidae,0,31.5,GROUND,INSECTS,CHAP,0
390,2004,Zonotrichia atricapilla,Emberizidae,0,31.5,GROUND,INSECTS,CHAP,0
392,2004,Zonotrichia atricapilla,Emberizidae,0,31.5,GROUND,INSECTS,CHAP,0
398,2004,Zonotrichia atricapilla,Emberizidae,0,31.5,GROUND,INSECTS,CHAP,0
399,2004,Zonotrichia atricapilla,Emberizidae,0,31.5,GROUND,INSECTS,CHAP,0
400,2004,Zonotrichia atricapilla,Emberizidae,0,31.5,GROUND,INSECTS,CHAP,0
401,2004,Zonotrichia atricapilla,Emberizidae,0,31.5,GROUND,INSECTS,CHAP,1
402,2004,Zonotrichia atricapilla,Emberizidae,1,31.5,GROUND,INSECTS,CHAP,1
411,2004,Zonotrichia atricapilla,Emberizidae,0,31.5,GROUND,INSECTS,CHAP,0
412,2004,Zonotrichia atricapilla,Emberizidae,0,31.5,GROUND,INSECTS,CHAP,0
258,2003,Troglodytes aedon,Troglodytidae,0,11,CAVITY,INSECTS,OAKW,0
509,2004,Troglodytes aedon,Troglodytidae,12,11,CAVITY,INSECTS,OAKW,0
103,2003,Vireo huttoni,Vireonidae,1,12,TREE,INSECTS,XW,0
139,2003,Vireo huttoni,Vireonidae,0,12,TREE,INSECTS,XW,0
186,2003,Vireo huttoni,Vireonidae,0,12,TREE,INSECTS,XW,0
196,2003,Vireo huttoni,Vireonidae,0,12,TREE,INSECTS,XW,0
448,2004,Vireo huttoni,Vireonidae,0,12,TREE,INSECTS,XW,0
657,2004,Vireo huttoni,Vireonidae,0,12,TREE,INSECTS,XW,0
24,2003,Chondestes grammacus,Emberizidae,27,28.5,GROUND,SEEDS,GRASS,1
25,2003,Chondestes grammacus,Emberizidae,66,28.5,GROUND,SEEDS,GRASS,1
32,2003,Chondestes grammacus,Emberizidae,14,28.5,GROUND,SEEDS,GRASS,0
36,2003,Chondestes grammacus,Emberizidae,3,28.5,GROUND,SEEDS,GRASS,0
66,2003,Passerina amoena,Cardinalidae,0,15.5,SHRUB,INSECTS,OAKW,0
416,2004,Passerina amoena,Cardinalidae,0,15.5,SHRUB,INSECTS,OAKW,0
422,2004,Passerina amoena,Cardinalidae,0,15.5,SHRUB,INSECTS,OAKW,0
42,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
59,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
61,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
62,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
67,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
68,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
174,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
197,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
212,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
221,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
223,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
235,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,1
237,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
238,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,1
239,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
240,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,1
241,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
242,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
243,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
245,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,1
252,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,1
253,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
254,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
255,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
256,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
261,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
262,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
263,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,1
264,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
265,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
266,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
315,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
321,2003,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
397,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
434,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
439,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
445,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
446,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
447,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
449,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
450,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
451,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
452,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,1
454,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
461,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
462,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
463,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
481,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
485,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
486,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
487,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
488,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
491,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
492,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
493,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,1
494,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
515,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
516,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
517,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
521,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
522,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
523,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
530,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
532,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
537,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
538,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
539,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
550,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
566,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
587,2004,Spinus psaltria,Passeridae,0,9.8,TREE,SEEDS,OAKW,0
