no,site,region,site2,area,elevation,landuse,year,count1,count2,mean.density
183,BE08,CH.W,Seeland,5.1,434,arable,2004,8,11,2.156862745
184,BE08,CH.W,Seeland,5.1,434,arable,2005,7,7,1.37254902
185,BE08,CH.W,Seeland,5.1,434,arable,2006,2,10,1.960784314
186,BE08,CH.W,Seeland,5.1,434,arable,2007,9,10,1.960784314
187,BE08,CH.W,Seeland,5.1,434,arable,2008,9,14,2.745098039
188,BE09,CH.W,Seeland,19.51,432,arable,1992,130,156,7.995899539
189,BE09,CH.W,Seeland,19.51,432,arable,1993,148,157,8.047155305
190,BE09,CH.W,Seeland,19.51,432,arable,1994,170,151,8.713480267
191,BE09,CH.W,Seeland,19.51,432,arable,1995,169,141,8.6622245
192,BE09,CH.W,Seeland,19.51,432,arable,1996,NA,NA,NA
193,BE09,CH.W,Seeland,19.51,432,arable,1997,141,155,7.944643772
194,BE09,CH.W,Seeland,19.51,432,arable,1998,NA,NA,NA
195,BE09,CH.W,Seeland,19.51,432,arable,1999,NA,NA,NA
196,BE09,CH.W,Seeland,19.51,432,arable,2000,108,102,5.535622758
197,BE09,CH.W,Seeland,19.51,432,arable,2001,98,94,5.023065095
198,BE09,CH.W,Seeland,19.51,432,arable,2002,99,100,5.125576627
199,BE09,CH.W,Seeland,19.51,432,arable,2003,75,79,4.049205536
200,BE09,CH.W,Seeland,19.51,432,arable,2004,72,98,5.023065095
201,BE09,CH.W,Seeland,19.51,432,arable,2005,104,118,6.04818042
202,BE09,CH.W,Seeland,19.51,432,arable,2006,114,130,6.663249616
203,BE09,CH.W,Seeland,19.51,432,arable,2007,88,90,4.613018965
204,BE09,CH.W,Seeland,19.51,432,arable,2008,126,116,6.45822655
205,BE12,CH.W,Seeland,2.58,433,arable,1992,48,51,19.76744186
206,BE12,CH.W,Seeland,2.58,433,arable,1993,31,34,13.17829457
207,BE12,CH.W,Seeland,2.58,433,arable,1994,54,51,20.93023256
208,BE12,CH.W,Seeland,2.58,433,arable,1995,31,44,17.05426357
209,BE12,CH.W,Seeland,2.58,433,arable,1996,33,37,14.34108527
210,BE12,CH.W,Seeland,2.58,433,arable,1997,46,34,17.82945736
211,BE12,CH.W,Seeland,2.58,433,arable,1998,52,47,20.15503876
212,BE12,CH.W,Seeland,2.58,433,arable,1999,57,48,22.09302326
213,BE12,CH.W,Seeland,2.58,433,arable,2000,37,34,14.34108527
214,BE12,CH.W,Seeland,2.58,433,arable,2001,25,34,13.17829457
215,BE12,CH.W,Seeland,2.58,433,arable,2002,38,37,14.72868217
216,BE12,CH.W,Seeland,2.58,433,arable,2003,43,37,16.66666667
217,BE12,CH.W,Seeland,2.58,433,arable,2004,37,31,14.34108527
218,BE12,CH.W,Seeland,2.58,433,arable,2005,30,33,12.79069767
219,BE12,CH.W,Seeland,2.58,433,arable,2006,33,18,12.79069767
220,BE12,CH.W,Seeland,2.58,433,arable,2007,25,16,9.689922481
221,BE12,CH.W,Seeland,2.58,433,arable,2008,30,23,11.62790698
222,BE19,Aare,Aaretal,3.49,430,arable,1992,11,8,3.151862464
223,BE19,Aare,Aaretal,3.49,430,arable,1993,16,15,4.584527221
224,BE19,Aare,Aaretal,3.49,430,arable,1994,9,14,4.011461318
225,BE19,Aare,Aaretal,3.49,430,arable,1995,11,16,4.584527221
226,BE19,Aare,Aaretal,3.49,430,arable,1996,19,20,5.730659026
227,BE19,Aare,Aaretal,3.49,430,arable,1997,21,24,6.876790831
228,BE19,Aare,Aaretal,3.49,430,arable,1998,34,40,11.46131805
229,BE19,Aare,Aaretal,3.49,430,arable,1999,31,30,8.88252149
230,BE19,Aare,Aaretal,3.49,430,arable,2000,30,28,8.595988539
231,BE19,Aare,Aaretal,3.49,430,arable,2001,25,23,7.163323782
232,BE19,Aare,Aaretal,3.49,430,arable,2002,21,22,6.303724928
233,BE19,Aare,Aaretal,3.49,430,arable,2003,14,15,4.297994269
234,BE19,Aare,Aaretal,3.49,430,arable,2004,19,22,6.303724928
235,BE19,Aare,Aaretal,3.49,430,arable,2005,16,17,4.871060172
236,BE19,Aare,Aaretal,3.49,430,arable,2006,19,16,5.444126074
237,BE19,Aare,Aaretal,3.49,430,arable,2007,15,16,4.584527221
238,BE19,Aare,Aaretal,3.49,430,arable,2008,17,19,5.444126074
239,BE20,Aare,Aaretal,7.63,430,arable,1992,27,26,3.538663172
240,BE20,Aare,Aaretal,7.63,430,arable,1993,31,36,4.718217562
241,BE20,Aare,Aaretal,7.63,430,arable,1994,37,34,4.849279161
242,BE20,Aare,Aaretal,7.63,430,arable,1995,32,27,4.193971166
243,BE20,Aare,Aaretal,7.63,430,arable,1996,NA,NA,NA
244,BE20,Aare,Aaretal,7.63,430,arable,1997,34,36,4.718217562
245,BE20,Aare,Aaretal,7.63,430,arable,1998,NA,NA,NA
246,BE20,Aare,Aaretal,7.63,430,arable,1999,42,52,6.815203145
247,BE20,Aare,Aaretal,7.63,430,arable,2000,62,59,8.125819135
248,BE20,Aare,Aaretal,7.63,430,arable,2001,71,63,9.305373526
249,BE20,Aare,Aaretal,7.63,430,arable,2002,57,52,7.47051114
250,BE20,Aare,Aaretal,7.63,430,arable,2003,40,55,7.208387942
251,BE20,Aare,Aaretal,7.63,430,arable,2004,55,45,7.208387942
252,BE20,Aare,Aaretal,7.63,430,arable,2005,56,53,7.339449541
253,BE20,Aare,Aaretal,7.63,430,arable,2006,47,35,6.159895151
254,BE20,Aare,Aaretal,7.63,430,arable,2007,55,48,7.208387942
255,BE20,Aare,Aaretal,7.63,430,arable,2008,37,31,4.849279161
256,BE23,Aare,Emmental,5.04,480,arable,1992,9,10,1.984126984
257,BE23,Aare,Emmental,5.04,480,arable,1993,9,7,1.785714286
258,BE23,Aare,Emmental,5.04,480,arable,1994,2,4,0.793650794
259,BE23,Aare,Emmental,5.04,480,arable,1995,2,7,1.388888889
260,BE23,Aare,Emmental,5.04,480,arable,1996,NA,NA,NA
261,BE23,Aare,Emmental,5.04,480,arable,1997,NA,NA,NA
262,BE23,Aare,Emmental,5.04,480,arable,1998,NA,NA,NA
263,BE23,Aare,Emmental,5.04,480,arable,1999,8,9,1.785714286
264,BE23,Aare,Emmental,5.04,480,arable,2000,10,16,3.174603175
265,BE23,Aare,Emmental,5.04,480,arable,2001,NA,NA,NA
266,BE23,Aare,Emmental,5.04,480,arable,2002,8,7,1.587301587
267,BE23,Aare,Emmental,5.04,480,arable,2003,1,5,0.992063492
268,BE23,Aare,Emmental,5.04,480,arable,2004,4,7,1.388888889
269,BE23,Aare,Emmental,5.04,480,arable,2005,2,10,1.984126984
270,BE23,Aare,Emmental,5.04,480,arable,2006,5,5,0.992063492
271,BE23,Aare,Emmental,5.04,480,arable,2007,1,2,0.396825397
272,BE23,Aare,Emmental,5.04,480,arable,2008,1,2,0.396825397
273,BE24,Aare,Emmental,8.18,480,arable,1992,16,18,2.200488998
274,BE24,Aare,Emmental,8.18,480,arable,1993,27,32,3.91198044
275,BE24,Aare,Emmental,8.18,480,arable,1994,36,35,4.400977995
276,BE24,Aare,Emmental,8.18,480,arable,1995,29,32,3.91198044
277,BE24,Aare,Emmental,8.18,480,arable,1996,NA,NA,NA
278,BE24,Aare,Emmental,8.18,480,arable,1997,NA,NA,NA
279,BE24,Aare,Emmental,8.18,480,arable,1998,NA,NA,NA
280,BE24,Aare,Emmental,8.18,480,arable,1999,50,53,6.479217604
281,BE24,Aare,Emmental,8.18,480,arable,2000,48,53,6.479217604
282,BE24,Aare,Emmental,8.18,480,arable,2001,NA,NA,NA
283,BE24,Aare,Emmental,8.18,480,arable,2002,45,56,6.84596577
284,BE24,Aare,Emmental,8.18,480,arable,2003,26,34,4.156479218
285,BE24,Aare,Emmental,8.18,480,arable,2004,36,40,4.88997555
286,BE24,Aare,Emmental,8.18,480,arable,2005,27,25,3.300733496
287,BE24,Aare,Emmental,8.18,480,arable,2006,18,19,2.322738386
288,BE24,Aare,Emmental,8.18,480,arable,2007,17,21,2.567237164
289,BE24,Aare,Emmental,8.18,480,arable,2008,30,23,3.667481663
290,BE25,Aare,Emmental,9.87,493,arable,1992,25,24,2.532928065
291,BE25,Aare,Emmental,9.87,493,arable,1993,27,29,2.938196555
292,BE25,Aare,Emmental,9.87,493,arable,1994,23,37,3.748733536
293,BE25,Aare,Emmental,9.87,493,arable,1995,34,52,5.268490375
294,BE25,Aare,Emmental,9.87,493,arable,1996,NA,NA,NA
295,BE25,Aare,Emmental,9.87,493,arable,1997,NA,NA,NA
296,BE25,Aare,Emmental,9.87,493,arable,1998,NA,NA,NA
297,BE25,Aare,Emmental,9.87,493,arable,1999,35,55,5.572441743
298,BE25,Aare,Emmental,9.87,493,arable,2000,76,72,7.700101317
299,BE25,Aare,Emmental,9.87,493,arable,2001,NA,NA,NA
300,BE25,Aare,Emmental,9.87,493,arable,2002,38,64,6.484295846
301,BE25,Aare,Emmental,9.87,493,arable,2003,NA,NA,NA
302,BE25,Aare,Emmental,9.87,493,arable,2004,NA,NA,NA
303,BE25,Aare,Emmental,9.87,493,arable,2005,34,36,3.647416413
304,BE25,Aare,Emmental,9.87,493,arable,2006,NA,NA,NA
305,BE25,Aare,Emmental,9.87,493,arable,2007,NA,NA,NA
306,BE25,Aare,Emmental,9.87,493,arable,2008,NA,NA,NA
307,BE27,Aare,NA,2.59,436,arable,1992,22,10,8.494208494
308,BE27,Aare,NA,2.59,436,arable,1993,13,12,5.019305019
309,BE27,Aare,NA,2.59,436,arable,1994,7,11,4.247104247
310,BE27,Aare,NA,2.59,436,arable,1995,13,12,5.019305019
311,BE27,Aare,NA,2.59,436,arable,1996,NA,NA,NA
312,BE27,Aare,NA,2.59,436,arable,1997,NA,NA,NA
313,BE27,Aare,NA,2.59,436,arable,1998,7,5,2.702702703
314,BE27,Aare,NA,2.59,436,arable,1999,NA,NA,NA
315,BE27,Aare,NA,2.59,436,arable,2000,2,5,1.930501931
316,BE27,Aare,NA,2.59,436,arable,2001,NA,NA,NA
317,BE27,Aare,NA,2.59,436,arable,2002,NA,NA,NA
318,BE27,Aare,NA,2.59,436,arable,2003,NA,NA,NA
319,BE27,Aare,NA,2.59,436,arable,2004,NA,NA,NA
320,BE27,Aare,NA,2.59,436,arable,2005,1,1,0.386100386
321,BE27,Aare,NA,2.59,436,arable,2006,NA,NA,NA
322,BE27,Aare,NA,2.59,436,arable,2007,NA,NA,NA
323,BE27,Aare,NA,2.59,436,arable,2008,NA,NA,NA
324,BE28,Aare,NA,2.44,422,arable,1992,7,5,2.868852459
325,BE28,Aare,NA,2.44,422,arable,1993,6,4,2.459016393
326,BE28,Aare,NA,2.44,422,arable,1994,3,1,1.229508197
327,BE28,Aare,NA,2.44,422,arable,1995,NA,2,0.819672131
328,BE28,Aare,NA,2.44,422,arable,1996,NA,NA,NA
329,BE28,Aare,NA,2.44,422,arable,1997,NA,NA,NA
330,BE28,Aare,NA,2.44,422,arable,1998,NA,2,0.819672131
331,BE28,Aare,NA,2.44,422,arable,1999,NA,NA,NA
332,BE28,Aare,NA,2.44,422,arable,2000,NA,NA,NA
333,BE28,Aare,NA,2.44,422,arable,2001,NA,NA,NA
334,BE28,Aare,NA,2.44,422,arable,2002,NA,NA,NA
335,BE28,Aare,NA,2.44,422,arable,2003,NA,NA,NA
336,BE28,Aare,NA,2.44,422,arable,2004,NA,NA,NA
337,BE28,Aare,NA,2.44,422,arable,2005,5,7,2.868852459
338,BE28,Aare,NA,2.44,422,arable,2006,NA,NA,NA
339,BE28,Aare,NA,2.44,422,arable,2007,NA,NA,NA
340,BE28,Aare,NA,2.44,422,arable,2008,NA,NA,NA
341,BL02,Baselland,Ettingen,6.54,350,arable,1992,NA,NA,NA
342,BL02,Baselland,Ettingen,6.54,350,arable,1993,NA,NA,NA
343,BL02,Baselland,Ettingen,6.54,350,arable,1994,NA,NA,NA
344,BL02,Baselland,Ettingen,6.54,350,arable,1995,NA,NA,NA
345,BL02,Baselland,Ettingen,6.54,350,arable,1996,17,18,2.752293578
346,BL02,Baselland,Ettingen,6.54,350,arable,1997,15,12,2.293577982
347,BL02,Baselland,Ettingen,6.54,350,arable,1998,18,15,2.752293578
348,BL02,Baselland,Ettingen,6.54,350,arable,1999,NA,19,2.905198777
349,BL02,Baselland,Ettingen,6.54,350,arable,2000,31,18,4.740061162
350,BL02,Baselland,Ettingen,6.54,350,arable,2001,37,32,5.657492355
351,BL02,Baselland,Ettingen,6.54,350,arable,2002,28,17,4.281345566
352,BL02,Baselland,Ettingen,6.54,350,arable,2003,24,14,3.669724771
353,BL02,Baselland,Ettingen,6.54,350,arable,2004,15,17,2.599388379
354,BL02,Baselland,Ettingen,6.54,350,arable,2005,19,17,2.905198777
355,BL02,Baselland,Ettingen,6.54,350,arable,2006,10,10,1.529051988
356,BL02,Baselland,Ettingen,6.54,350,arable,2007,18,12,2.752293578
357,BL02,Baselland,Ettingen,6.54,350,arable,2008,13,11,1.987767584
358,BL04,Baselland,Wenslingen,6.98,600,grass,1992,NA,NA,NA
359,BL04,Baselland,Wenslingen,6.98,600,grass,1993,NA,NA,NA
360,BL04,Baselland,Wenslingen,6.98,600,grass,1994,NA,NA,NA
361,BL04,Baselland,Wenslingen,6.98,600,grass,1995,NA,NA,NA
362,BL04,Baselland,Wenslingen,6.98,600,grass,1996,NA,33,4.727793696
363,BL04,Baselland,Wenslingen,6.98,600,grass,1997,30,33,4.727793696
364,BL04,Baselland,Wenslingen,6.98,600,grass,1998,21,29,4.154727794
365,BL04,Baselland,Wenslingen,6.98,600,grass,1999,23,33,4.727793696
366,BL04,Baselland,Wenslingen,6.98,600,grass,2000,34,26,4.871060172
367,BL04,Baselland,Wenslingen,6.98,600,grass,2001,29,25,4.154727794
368,BL04,Baselland,Wenslingen,6.98,600,grass,2002,28,21,4.011461318
369,BL04,Baselland,Wenslingen,6.98,600,grass,2003,43,42,6.160458453
370,BL04,Baselland,Wenslingen,6.98,600,grass,2004,37,41,5.873925501
371,BL04,Baselland,Wenslingen,6.98,600,grass,2005,31,24,4.441260745
372,BL04,Baselland,Wenslingen,6.98,600,grass,2006,43,38,6.160458453
373,BL04,Baselland,Wenslingen,6.98,600,grass,2007,39,35,5.58739255
374,BL04,Baselland,Wenslingen,6.98,600,grass,2008,43,43,6.160458453
375,BL05,Baselland,Laufen,10.11,400,grass,1992,NA,NA,NA
376,BL05,Baselland,Laufen,10.11,400,grass,1993,NA,NA,NA
377,BL05,Baselland,Laufen,10.11,400,grass,1994,NA,NA,NA
